"word","polarity"
"ascertainable","positive"
"ascertainable","positive"
"aspiration","positive"
"aspirations","positive"
"aspirations","positive"
"assertions","positive"
"assertions","positive"
"assertive","positive"
"asset","positive"
"assiduous","positive"
"assiduously","positive"
"assurance","positive"
"assurance","positive"
"assurances","positive"
"assurances","positive"
"assuredly","positive"
"astonished","positive"
"astonishing","positive"
"astonishingly","positive"
"astonishment","positive"
"astounded","positive"
"astounding","positive"
"astounding","positive"
"astoundingly","positive"
"astute","positive"
"astutely","positive"
"asylum","positive"
"asylum","positive"
"attainable","positive"
"attentive","positive"
"attraction","positive"
"attraction","positive"
"attractive","positive"
"attractive","positive"
"attune","positive"
"auspicious","positive"
"authentic","positive"
"authoritative","positive"
"award","positive"
"autonomous","positive"
"avid","positive"
"avidly","positive"
"awe","positive"
"awed","positive"
"awesome","positive"
"awesomely","positive"
"awesomeness","positive"
"awestruck","positive"
"backbone","positive"
"balanced","positive"
"bargain","positive"
"bargain","positive"
"basic","positive"
"beacon","positive"
"beauteous","positive"
"beautiful","positive"
"beautifully","positive"
"beauty","positive"
"befitting","positive"
"believable","positive"
"beloved","positive"
"benefactor","positive"
"beneficial","positive"
"beneficent","positive"
"beneficiary","positive"
"beneficiary","positive"
"benefit","positive"
"benefit","positive"
"benefits","positive"
"benefits","positive"
"benevolence","positive"
"benevolent","positive"
"benign","positive"
"best-known","positive"
"best-performing","positive"
"best-selling","positive"
"better","positive"
"better-known","positive"
"better-than-expected","positive"
"blameless","positive"
"blessing","positive"
"blessing","positive"
"bliss","positive"
"blissful","positive"
"blissfully","positive"
"blithe","positive"
"bold","positive"
"boldly","positive"
"boldness","positive"
"bonny","positive"
"bonus","positive"
"boom","positive"
"booming","positive"
"boost","positive"
"boundless","positive"
"bountiful","positive"
"brains","positive"
"brains","positive"
"brainy","positive"
"brave","positive"
"bravery","positive"
"bravery","positive"
"breakthrough","positive"
"breakthrough","positive"
"breakthroughs","positive"
"breakthroughs","positive"
"breathlessness","positive"
"breathlessness","positive"
"breathtaking","positive"
"breathtakingly","positive"
"bright","positive"
"brightness","positive"
"brilliance","positive"
"brilliant","positive"
"brilliantly","positive"
"brisk","positive"
"broad","positive"
"brotherly","positive"
"bull","positive"
"bull","positive"
"bullish","positive"
"bullish","positive"
"buoyant","positive"
"calm","positive"
"calmness","positive"
"candid","positive"
"candor","positive"
"capable","positive"
"capability","positive"
"capably","positive"
"captivating","positive"
"captivation","positive"
"carefree","positive"
"careful","positive"
"catalyst","positive"
"catalyst","positive"
"catchy","positive"
"celebrated","positive"
"celebration","positive"
"celebrity","positive"
"champion","positive"
"champ","positive"
"champion","positive"
"charismatic","positive"
"charitable","positive"
"charitable","positive"
"charity","positive"
"charm","positive"
"charm","positive"
"charming","positive"
"charming","positive"
"charmingly","positive"
"chaste","positive"
"cheer","positive"
"cheery","positive"
"cheerful","positive"
"cherished","positive"
"cherub","positive"
"chic","positive"
"chivalry","positive"
"chivalrous","positive"
"chum","positive"
"civility","positive"
"civilization","positive"
"civilize","positive"
"civil","positive"
"clarity","positive"
"classic","positive"
"clean","positive"
"cleanliness","positive"
"cleanse","positive"
"clear-cut","positive"
"clearer","positive"
"clearer","positive"
"clearly","positive"
"clever","positive"
"closeness","positive"
"closeness","positive"
"clout","positive"
"clout","positive"
"co-operation","positive"
"co-operation","positive"
"cogent","positive"
"cohesive","positive"
"coherence","positive"
"coherence","positive"
"coherent","positive"
"cohesion","positive"
"cohesive","positive"
"colorful","positive"
"colossal","positive"
"comeback","positive"
"comeback","positive"
"comely","positive"
"comfortable","positive"
"comfortable","positive"
"comfortably","positive"
"comforting","positive"
"commendable","positive"
"commendably","positive"
"commensurate","positive"
"commonsense","positive"
"commonsensible","positive"
"commonsensibly","positive"
"commonsensical","positive"
"commodious","positive"
"commitment","positive"
"commitment","positive"
"compact","positive"
"compassion","positive"
"compassionate","positive"
"compatible","positive"
"compatible","positive"
"compelling","positive"
"compelling","positive"
"competent","positive"
"competence","positive"
"competency","positive"
"competitive","positive"
"competitive","positive"
"competitiveness","positive"
"complement","positive"
"compliant","positive"
"compliant","positive"
"complimentary","positive"
"comprehensive","positive"
"compromise","positive"
"compromise","positive"
"compromises","positive"
"compromises","positive"
"comrades","positive"
"comrades","positive"
"conceivable","positive"
"conceivable","positive"
"conciliatory","positive"
"conclusive","positive"
"concrete","positive"
"conducive","positive"
"conducive","positive"
"confidence","positive"
"confidence","positive"
"confident","positive"
"congenial","positive"
"congratulations","positive"
"congratulations","positive"
"conscience","positive"
"conscientious","positive"
"consensus","positive"
"considerate","positive"
"consistent","positive"
"constancy","positive"
"constructive","positive"
"constructive","positive"
"constructive","positive"
"consummate","positive"
"content","positive"
"contentment","positive"
"continuity","positive"
"contribution","positive"
"contribution","positive"
"convenient","positive"
"convenient","positive"
"conviction","positive"
"conviction","positive"
"convincing","positive"
"convincing","positive"
"convincingly","positive"
"cooperation","positive"
"cooperation","positive"
"cooperative","positive"
"cooperatively","positive"
"cordial","positive"
"cornerstone","positive"
"cornerstone","positive"
"correct","positive"
"cost-effective","positive"
"cost-saving","positive"
"courage","positive"
"courage","positive"
"courageous","positive"
"courageously","positive"
"courageousness","positive"
"courteous","positive"
"courtesy","positive"
"courtly","positive"
"covenant","positive"
"cozy","positive"
"craving","positive"
"creative","positive"
"credence","positive"
"credence","positive"
"credible","positive"
"crisp","positive"
"crusade","positive"
"crusade","positive"
"crusader","positive"
"cure-all","positive"
"cure-all","positive"
"cute","positive"
"dance","positive"
"daring","positive"
"daringly","positive"
"dashing","positive"
"dauntless","positive"
"dazzled","positive"
"dazzling","positive"
"deal","positive"
"dear","positive"
"decent","positive"
"decency","positive"
"decisive","positive"
"decisiveness","positive"
"decisiveness","positive"
"dedicated","positive"
"defender","positive"
"defender","positive"
"deference","positive"
"defense","positive"
"definite","positive"
"definitive","positive"
"definitive","positive"
"definitively","positive"
"deflationary","positive"
"deft","positive"
"delectable","positive"
"delicacy","positive"
"delicate","positive"
"delicious","positive"
"delight","positive"
"delighted","positive"
"delightful","positive"
"delightful","positive"
"delightfully","positive"
"delightfulness","positive"
"democratic","positive"
"dependable","positive"
"deserved","positive"
"deservedly","positive"
"deserving","positive"
"desirable","positive"
"desire","positive"
"desire","positive"
"desirous","positive"
"destined","positive"
"destinies","positive"
"destinies","positive"
"destiny","positive"
"determination","positive"
"determination","positive"
"devoted","positive"
"devotee","positive"
"devotion","positive"
"devout","positive"
"dexterity","positive"
"dexterous","positive"
"dexterously","positive"
"dextrous","positive"
"dignified","positive"
"dignity","positive"
"diligence","positive"
"diligent","positive"
"diligently","positive"
"diplomatic","positive"
"diplomatic","positive"
"discerning","positive"
"discreet","positive"
"discreet","positive"
"discretion","positive"
"discriminating","positive"
"discriminatingly","positive"
"distinct","positive"
"distinction","positive"
"distinctive","positive"
"distinctive","positive"
"distinctive","positive"
"distinguished","positive"
"diversified","positive"
"divine","positive"
"divinely","positive"
"dodge","positive"
"dodge","positive"
"dotingly","positive"
"doubtless","positive"
"dream","positive"
"dream","positive"
"dreamland","positive"
"dreams","positive"
"dreams","positive"
"dreamy","positive"
"drive","positive"
"driven","positive"
"durable","positive"
"durability","positive"
"dynamic","positive"
"eager","positive"
"eagerly","positive"
"eagerness","positive"
"earnest","positive"
"earnestly","positive"
"earnestness","positive"
"ease","positive"
"easy","positive"
"easygoing","positive"
"ebullience","positive"
"ebullient","positive"
"ebulliently","positive"
"eclectic","positive"
"economical","positive"
"ecstasies","positive"
"ecstasy","positive"
"ecstatic","positive"
"ecstatically","positive"
"educable","positive"
"educated","positive"
"educational","positive"
"effective","positive"
"effectiveness","positive"
"effectual","positive"
"efficacious","positive"
"efficiency","positive"
"efficient","positive"
"effortless","positive"
"effortlessly","positive"
"effusion","positive"
"effusive","positive"
"effusively","positive"
"effusiveness","positive"
"egalitarian","positive"
"elan","positive"
"elated","positive"
"elatedly","positive"
"elation","positive"
"electrification","positive"
"electrification","positive"
"elegance","positive"
"elegant","positive"
"elegantly","positive"
"elevated","positive"
"eligible","positive"
"elite","positive"
"eloquence","positive"
"eloquent","positive"
"eloquently","positive"
"eminence","positive"
"eminent","positive"
"empowerment","positive"
"enchanted","positive"
"enchanting","positive"
"enchantingly","positive"
"encouragement","positive"
"encouragement","positive"
"encouraging","positive"
"encouraging","positive"
"encouragingly","positive"
"endearing","positive"
"endorsement","positive"
"endorsement","positive"
"endorser","positive"
"endurable","positive"
"enduring","positive"
"energetic","positive"
"energetic","positive"
"engaging","positive"
"engrossing","positive"
"enhanced","positive"
"enhancement","positive"
"enjoyable","positive"
"enjoyably","positive"
"enjoyment","positive"
"enlightenment","positive"
"enrapt","positive"
"enrichment","positive"
"enterprising","positive"
"entertaining","positive"
"enthusiasm","positive"
"enthusiast","positive"
"enthusiastic","positive"
"enthusiastically","positive"
"enticing","positive"
"enticingly","positive"
"entrancing","positive"
"entreatingly","positive"
"enviable","positive"
"enviably","positive"
"envisions","positive"
"envisions","positive"
"epic","positive"
"epitome","positive"
"equality","positive"
"equality","positive"
"equitable","positive"
"erudite","positive"
"essential","positive"
"especially","positive"
"esteem","positive"
"established","positive"
"eternity","positive"
"eternity","positive"
"ethical","positive"
"euphoria","positive"
"euphoric","positive"
"euphorically","positive"
"even","positive"
"evenly","positive"
"eventful","positive"
"everlasting","positive"
"evocative","positive"
"exalt","positive"
"exaltation","positive"
"exalted","positive"
"exaltedly","positive"
"exalting","positive"
"exaltingly","positive"
"exceeding","positive"
"exceedingly","positive"
"excellence","positive"
"excellency","positive"
"excellent","positive"
"excellently","positive"
"exceptional","positive"
"exceptionally","positive"
"excited","positive"
"excitedly","positive"
"excitedness","positive"
"excitement","positive"
"exciting","positive"
"excitingly","positive"
"exclusive","positive"
"excusable","positive"
"excusable","positive"
"exemplar","positive"
"exemplary","positive"
"exhaustive","positive"
"exhaustively","positive"
"exhilarating","positive"
"exhilaratingly","positive"
"exhilaration","positive"
"expansive","positive"
"experienced","positive"
"expert","positive"
"expertly","positive"
"explicit","positive"
"explicitly","positive"
"expressive","positive"
"exquisite","positive"
"exquisitely","positive"
"extraordinarily","positive"
"extraordinary","positive"
"exuberance","positive"
"exuberant","positive"
"exuberantly","positive"
"exultation","positive"
"exultingly","positive"
"fabulous","positive"
"fabulously","positive"
"fair","positive"
"fair","positive"
"fairly","positive"
"fairness","positive"
"fairness","positive"
"faith","positive"
"faith","positive"
"faithful","positive"
"faithful","positive"
"faithfully","positive"
"faithfulness","positive"
"famed","positive"
"fame","positive"
"famed","positive"
"famous","positive"
"famously","positive"
"fancy","positive"
"fanfare","positive"
"fanfare","positive"
"fantastic","positive"
"fantastically","positive"
"fantasy","positive"
"fantasy","positive"
"farsighted","positive"
"fascinating","positive"
"fascinatingly","positive"
"fascination","positive"
"fashionable","positive"
"fashionably","positive"
"fast-growing","positive"
"fast-paced","positive"
"fastest-growing","positive"
"favor","positive"
"favor","positive"
"favorable","positive"
"favored","positive"
"favorite","positive"
"favour","positive"
"fearless","positive"
"fearlessly","positive"
"feasible","positive"
"feasibly","positive"
"feat","positive"
"featly","positive"
"feisty","positive"
"feisty","positive"
"felicitous","positive"
"felicity","positive"
"fertile","positive"
"fertile","positive"
"fervent","positive"
"fervently","positive"
"fervid","positive"
"fervidly","positive"
"fervor","positive"
"festive","positive"
"fidelity","positive"
"fiery","positive"
"fine","positive"
"finely","positive"
"first-class","positive"
"first-rate","positive"
"fit","positive"
"fitting","positive"
"flair","positive"
"flame","positive"
"flame","positive"
"flattering","positive"
"flatteringly","positive"
"flawless","positive"
"flawlessly","positive"
"flexible","positive"
"flourish","positive"
"flourishing","positive"
"fluent","positive"
"fond","positive"
"fondly","positive"
"fondness","positive"
"foolproof","positive"
"foremost","positive"
"foresight","positive"
"forgave","positive"
"forgiven","positive"
"forgiveness","positive"
"forgiving","positive"
"forgivingly","positive"
"fortitude","positive"
"fortuitous","positive"
"fortuitously","positive"
"fortunate","positive"
"fortune","positive"
"fortune","positive"
"fragrant","positive"
"frank","positive"
"free","positive"
"freedom","positive"
"freedom","positive"
"freedoms","positive"
"freedoms","positive"
"fresh","positive"
"friend","positive"
"friend","positive"
"friendliness","positive"
"friendliness","positive"
"friendly","positive"
"friends","positive"
"friends","positive"
"friendship","positive"
"friendship","positive"
"fruitful","positive"
"fulfillment","positive"
"fulfillment","positive"
"full-fledged","positive"
"fun","positive"
"functional","positive"
"funny","positive"
"gaiety","positive"
"gaily","positive"
"gain","positive"
"gainful","positive"
"gainfully","positive"
"gallant","positive"
"gallantly","positive"
"galore","positive"
"gem","positive"
"gem","positive"
"gems","positive"
"gems","positive"
"generosity","positive"
"generous","positive"
"generously","positive"
"genial","positive"
"genius","positive"
"gentle","positive"
"genuine","positive"
"germane","positive"
"giddy","positive"
"gifted","positive"
"glad","positive"
"gladly","positive"
"gladness","positive"
"glamorous","positive"
"glee","positive"
"gleeful","positive"
"gleefully","positive"
"glimmer","positive"
"glimmer","positive"
"glimmering","positive"
"glisten","positive"
"glistening","positive"
"glitter","positive"
"glorious","positive"
"gloriously","positive"
"glory","positive"
"glossy","positive"
"glowingly","positive"
"go-ahead","positive"
"go-ahead","positive"
"god-given","positive"
"godlike","positive"
"gold","positive"
"golden","positive"
"good","positive"
"goodly","positive"
"goodness","positive"
"goodwill","positive"
"goodwill","positive"
"gorgeous","positive"
"gorgeously","positive"
"grace","positive"
"graceful","positive"
"gracefully","positive"
"gracious","positive"
"graciously","positive"
"graciousness","positive"
"grail","positive"
"grail","positive"
"grand","positive"
"grandeur","positive"
"grateful","positive"
"grateful","positive"
"gratefully","positive"
"gratification","positive"
"gratifying","positive"
"gratifyingly","positive"
"gratitude","positive"
"gratitude","positive"
"great","positive"
"greatest","positive"
"greatness","positive"
"grit","positive"
"grit","positive"
"groundbreaking","positive"
"groundbreaking","positive"
"guarantee","positive"
"guardian","positive"
"guidance","positive"
"guidance","positive"
"guiltless","positive"
"gumption","positive"
"gusto","positive"
"gutsy","positive"
"halcyon","positive"
"hale","positive"
"hallowed","positive"
"handily","positive"
"handsome","positive"
"handy","positive"
"happily","positive"
"happiness","positive"
"happy","positive"
"hard-working","positive"
"hardier","positive"
"hardier","positive"
"hardy","positive"
"harmless","positive"
"harmonious","positive"
"harmony","positive"
"harmony","positive"
"haven","positive"
"headway","positive"
"heady","positive"
"healthful","positive"
"healthy","positive"
"healthy","positive"
"heart","positive"
"heartening","positive"
"heartfelt","positive"
"heartily","positive"
"heartwarming","positive"
"heaven","positive"
"heavenly","positive"
"help","positive"
"help","positive"
"helpful","positive"
"hero","positive"
"heroic","positive"
"heroically","positive"
"heroine","positive"
"heros","positive"
"high-quality","positive"
"highlight","positive"
"hilarious","positive"
"hilariously","positive"
"hilariousness","positive"
"hilarity","positive"
"historic","positive"
"holy","positive"
"homage","positive"
"honest","positive"
"honest","positive"
"honestly","positive"
"honesty","positive"
"honesty","positive"
"honeymoon","positive"
"honor","positive"
"honor","positive"
"honorable","positive"
"hope","positive"
"hope","positive"
"hopeful","positive"
"hopefully","positive"
"hopefulness","positive"
"hopes","positive"
"hopes","positive"
"hospitable","positive"
"hot","positive"
"hug","positive"
"hug","positive"
"humane","positive"
"humane","positive"
"humanists","positive"
"humanists","positive"
"humanity","positive"
"humankind","positive"
"humility","positive"
"humorous","positive"
"humorously","positive"
"humour","positive"
"humour","positive"
"humourous","positive"
"ideal","positive"
"ideal","positive"
"idealism","positive"
"idealist","positive"
"idol","positive"
"idol","positive"
"idolized","positive"
"illuminati","positive"
"illuminati","positive"
"illuminating","positive"
"illustrious","positive"
"imaginative","positive"
"immaculate","positive"
"immaculately","positive"
"impartial","positive"
"impartiality","positive"
"impartially","positive"
"impassioned","positive"
"impeccable","positive"
"impeccably","positive"
"imperial","positive"
"imperturbable","positive"
"impervious","positive"
"impetus","positive"
"importance","positive"
"important","positive"
"importantly","positive"
"impregnable","positive"
"impression","positive"
"impression","positive"
"impressions","positive"
"impressions","positive"
"impressive","positive"
"impressively","positive"
"impressiveness","positive"
"improving","positive"
"improved","positive"
"improvement","positive"
"inalienable","positive"
"incisive","positive"
"incisively","positive"
"incisiveness","positive"
"inclination","positive"
"inclination","positive"
"inclinations","positive"
"inclined","positive"
"inclusive","positive"
"incontestable","positive"
"incontrovertible","positive"
"incorruptible","positive"
"incredible","positive"
"incredibly","positive"
"indebted","positive"
"indefatigable","positive"
"indelible","positive"
"indelibly","positive"
"independence","positive"
"independence","positive"
"independent","positive"
"indescribable","positive"
"indescribably","positive"
"indestructible","positive"
"indispensable","positive"
"indispensability","positive"
"indisputable","positive"
"individuality","positive"
"indomitable","positive"
"indomitably","positive"
"indubitable","positive"
"indubitably","positive"
"indulgence","positive"
"indulgent","positive"
"industrious","positive"
"inestimable","positive"
"inestimably","positive"
"inexpensive","positive"
"infallible","positive"
"infallibly","positive"
"infallibility","positive"
"influential","positive"
"informative","positive"
"ingenious","positive"
"ingeniously","positive"
"ingenuity","positive"
"ingenuous","positive"
"ingenuously","positive"
"ingratiating","positive"
"ingratiatingly","positive"
"innocence","positive"
"innocence","positive"
"innocent","positive"
"innocently","positive"
"innocuous","positive"
"innocuous","positive"
"innovation","positive"
"innovation","positive"
"innovative","positive"
"inoffensive","positive"
"inquisitive","positive"
"insight","positive"
"insight","positive"
"insightful","positive"
"insightfully","positive"
"insistence","positive"
"insistence","positive"
"insistent","positive"
"insistently","positive"
"inspiration","positive"
"inspirational","positive"
"inspiring","positive"
"inspiring","positive"
"instructive","positive"
"instrumental","positive"
"intact","positive"
"integral","positive"
"integrity","positive"
"intelligent","positive"
"intelligence","positive"
"intelligible","positive"
"interest","positive"
"interest","positive"
"interested","positive"
"interesting","positive"
"interests","positive"
"interests","positive"
"intimacy","positive"
"intimacy","positive"
"intimate","positive"
"intricate","positive"
"intrigue","positive"
"intrigue","positive"
"intriguing","positive"
"intriguing","positive"
"intriguingly","positive"
"intuitive","positive"
"invaluable","positive"
"invaluablely","positive"
"inventive","positive"
"invigorating","positive"
"invincibility","positive"
"invincible","positive"
"inviolable","positive"
"inviolate","positive"
"invulnerable","positive"
"irrefutable","positive"
"irrefutably","positive"
"irreproachable","positive"
"irresistible","positive"
"irresistibly","positive"
"jauntily","positive"
"jaunty","positive"
"joke","positive"
"jovial","positive"
"joy","positive"
"joyful","positive"
"joyfully","positive"
"joyless","positive"
"joyous","positive"
"joyously","positive"
"jubilant","positive"
"jubilantly","positive"
"jubilation","positive"
"jubilation","positive"
"judicious","positive"
"just","positive"
"just","positive"
"just","positive"
"justice","positive"
"justice","positive"
"justifiable","positive"
"justification","positive"
"justly","positive"
"keen","positive"
"keenly","positive"
"keenness","positive"
"keenness","positive"
"kemp","positive"
"kind","positive"
"kindly","positive"
"kindliness","positive"
"kindness","positive"
"kingmaker","positive"
"kiss","positive"
"knowledgeable","positive"
"large","positive"
"large","positive"
"laudable","positive"
"laudably","positive"
"lavish","positive"
"lavishly","positive"
"law-abiding","positive"
"lawful","positive"
"lawfully","positive"
"leading","positive"
"lean","positive"
"lean","positive"
"learning","positive"
"learned","positive"
"legendary","positive"
"legitimacy","positive"
"legitimate","positive"
"legitimately","positive"
"lenient","positive"
"leniently","positive"
"less-expensive","positive"
"leverage","positive"
"levity","positive"
"liberal","positive"
"liberation","positive"
"liberation","positive"
"liberalism","positive"
"liberally","positive"
"liberty","positive"
"lifeblood","positive"
"lifelong","positive"
"light","positive"
"light","positive"
"light-hearted","positive"
"likable","positive"
"liking","positive"
"lionhearted","positive"
"literate","positive"
"live","positive"
"lively","positive"
"lofty","positive"
"logical","positive"
"lovable","positive"
"lovably","positive"
"love","positive"
"loveliness","positive"
"lover","positive"
"lovely","positive"
"low-cost","positive"
"low-risk","positive"
"lower-priced","positive"
"loyal","positive"
"loyalty","positive"
"loyalty","positive"
"lucid","positive"
"lucidly","positive"
"luck","positive"
"luckier","positive"
"luckier","positive"
"luckily","positive"
"luckiness","positive"
"lucky","positive"
"lucky","positive"
"lucrative","positive"
"lucrative","positive"
"luminous","positive"
"lush","positive"
"luster","positive"
"lustrous","positive"
"luxuriant","positive"
"luxurious","positive"
"luxuriously","positive"
"luxury","positive"
"luxury","positive"
"lyrical","positive"
"magic","positive"
"magical","positive"
"magnanimous","positive"
"magnanimously","positive"
"magnetic","positive"
"magnificence","positive"
"magnificent","positive"
"magnificent","positive"
"magnificently","positive"
"magnify","positive"
"majestic","positive"
"majesty","positive"
"manageable","positive"
"manifest","positive"
"manly","positive"
"mannerly","positive"
"marvel","positive"
"marvellous","positive"
"marvelous","positive"
"marvelously","positive"
"marvelousness","positive"
"marvels","positive"
"master","positive"
"master","positive"
"masterful","positive"
"masterfully","positive"
"masterpiece","positive"
"masterpieces","positive"
"masters","positive"
"masters","positive"
"mastery","positive"
"matchless","positive"
"mature","positive"
"maturely","positive"
"maturity","positive"
"meaningful","positive"
"meek","positive"
"mellow","positive"
"memorable","positive"
"mentor","positive"
"mercifully","positive"
"mercy","positive"
"mercy","positive"
"merit","positive"
"meritorious","positive"
"merrily","positive"
"merriment","positive"
"merriness","positive"
"merry","positive"
"mesmerizing","positive"
"mesmerizing","positive"
"mesmerizingly","positive"
"meticulous","positive"
"meticulously","positive"
"might","positive"
"mightily","positive"
"mighty","positive"
"mild","positive"
"mindful","positive"
"miracle","positive"
"miracles","positive"
"miraculous","positive"
"miraculously","positive"
"miraculousness","positive"
"mirth","positive"
"moderate","positive"
"moderation","positive"
"moderation","positive"
"modern","positive"
"modest","positive"
"modesty","positive"
"momentous","positive"
"monumental","positive"
"monumentally","positive"
"moral","positive"
"moral","positive"
"morality","positive"
"motivated","positive"
"motivation","positive"
"motivation","positive"
"moving","positive"
"myriad","positive"
"natural","positive"
"naturally","positive"
"navigable","positive"
"neat","positive"
"neatly","positive"
"necessarily","positive"
"necessary","positive"
"nice","positive"
"nifty","positive"
"nimble","positive"
"noble","positive"
"nobly","positive"
"non-violence","positive"
"non-violent","positive"
"normal","positive"
"notable","positive"
"notable","positive"
"noteworthy","positive"
"noteworthy","positive"
"noticeable","positive"
"novel","positive"
"nourishing","positive"
"nourishment","positive"
"nurturing","positive"
"nurturing","positive"
"oasis","positive"
"obedience","positive"
"obedient","positive"
"obediently","positive"
"objective","positive"
"objectively","positive"
"offbeat","positive"
"okay","positive"
"onward","positive"
"onward","positive"
"open","positive"
"openly","positive"
"openness","positive"
"openness","positive"
"opportune","positive"
"opportunity","positive"
"optimal","positive"
"optimism","positive"
"optimistic","positive"
"opulent","positive"
"orderly","positive"
"original","positive"
"originality","positive"
"outgoing","positive"
"outstanding","positive"
"outstandingly","positive"
"ovation","positive"
"ovation","positive"
"overachiever","positive"
"overjoyed","positive"
"overture","positive"
"overture","positive"
"pacifist","positive"
"pacifists","positive"
"pacifists","positive"
"painless","positive"
"painlessly","positive"
"painstaking","positive"
"painstakingly","positive"
"palatable","positive"
"palatial","positive"
"paradise","positive"
"paramount","positive"
"passion","positive"
"passionate","positive"
"passionately","positive"
"patience","positive"
"patient","positive"
"patient","positive"
"patient","positive"
"patiently","positive"
"patriot","positive"
"patriotic","positive"
"peace","positive"
"peace","positive"
"peaceable","positive"
"peaceful","positive"
"peaceful","positive"
"peacefully","positive"
"peacekeepers","positive"
"peacekeepers","positive"
"peerless","positive"
"penetrating","positive"
"penitent","positive"
"perceptive","positive"
"perfect","positive"
"perfection","positive"
"perfectly","positive"
"permissible","positive"
"perseverance","positive"
"persistent","positive"
"persistent","positive"
"personages","positive"
"personages","positive"
"personality","positive"
"personality","positive"
"perspicuous","positive"
"perspicuously","positive"
"persuasive","positive"
"persuasive","positive"
"persuasively","positive"
"pertinent","positive"
"phenomenal","positive"
"phenomenally","positive"
"picturesque","positive"
"piety","positive"
"pillar","positive"
"pillar","positive"
"pinnacle","positive"
"pious","positive"
"pithy","positive"
"pithy","positive"
"placid","positive"
"plain","positive"
"plausibility","positive"
"plausible","positive"
"playful","positive"
"playfully","positive"
"pleasant","positive"
"pleasantly","positive"
"pleased","positive"
"pleasing","positive"
"pleasure","positive"
"pleasure","positive"
"pledge","positive"
"pledges","positive"
"pledges","positive"
"plentiful","positive"
"plush","positive"
"poetic","positive"
"poignant","positive"
"poise","positive"
"poised","positive"
"polished","positive"
"polite","positive"
"politeness","positive"
"popular","positive"
"popular","positive"
"popularity","positive"
"popularity","positive"
"portable","positive"
"posh","positive"
"positive","positive"
"positiveness","positive"
"positively","positive"
"posterity","positive"
"potent","positive"
"potential","positive"
"potential","positive"
"powerful","positive"
"powerfully","positive"
"practicable","positive"
"practical","positive"
"pragmatic","positive"
"praise","positive"
"praiseworthy","positive"
"praising","positive"
"praising","positive"
"pre-eminent","positive"
"preaching","positive"
"preaching","positive"
"precaution","positive"
"precautions","positive"
"precedent","positive"
"precious","positive"
"precious","positive"
"precise","positive"
"precisely","positive"
"precision","positive"
"preeminent","positive"
"preemptive","positive"
"preferable","positive"
"preference","positive"
"preferences","positive"
"preferences","positive"
"premier","positive"
"premium","positive"
"prepared","positive"
"preponderance","positive"
"preponderance","positive"
"prestige","positive"
"prestigious","positive"
"prettily","positive"
